customer_id,recency_status,monetary_status,frequency_status
13397,Needs Attention,Average Value,Occasional
13398,Churned,Low Value,One-Time
13402,At Risk,Low Value,Few
13403,Recent,Very Low Value,One-Time
13404,Recent,Very Low Value,Few
13405,Churned,Low Value,Few
13408,Recent,High Value,Frequent
13410,Recent,Average Value,Occasional
13411,At Risk,Very Low Value,One-Time
13414,At Risk,Average Value,Few
13416,Needs Attention,Low Value,Few
13417,Recent,Low Value,Few
13418,Recent,High Value,Frequent
13419,Needs Attention,Very Low Value,One-Time
13420,At Risk,Very Low Value,Few
13421,Needs Attention,Average Value,Few
13422,Needs Attention,Average Value,One-Time
13425,At Risk,Average Value,Few
13426,Recent,Average Value,Frequent
13427,Recent,Low Value,Few
13428,Recent,Very Low Value,One-Time
13429,Recent,Average Value,Occasional
13430,Recent,Low Value,Few
13431,Needs Attention,Average Value,Few
13434,Needs Attention,Low Value,Few
13435,Recent,Average Value,Frequent
13436,Recent,Very Low Value,One-Time
13437,Recent,Average Value,Frequent
13439,Churned,Very Low Value,One-Time
13441,At Risk,Very Low Value,One-Time
13447,Recent,Average Value,Few
13448,Recent,Average Value,Frequent
13449,Recent,Very Low Value,One-Time
13450,Recent,Average Value,Frequent
13451,Recent,Average Value,Occasional
13452,Churned,Low Value,Few
13453,At Risk,Low Value,Few
13455,Recent,Average Value,Few
13456,Recent,Average Value,Frequent
13458,Recent,High Value,Frequent
13460,Recent,Very Low Value,Few
13461,Needs Attention,Average Value,Few
13462,Churned,Very Low Value,One-Time
13464,Needs Attention,Low Value,One-Time
13466,Churned,Low Value,One-Time
13467,Recent,Average Value,Few
13468,Recent,High Value,Frequent
13470,At Risk,Very Low Value,Few
13471,Recent,Average Value,Occasional
13473,Needs Attention,Low Value,Few
13474,Churned,Very Low Value,One-Time
13475,Churned,Average Value,Occasional
13476,At Risk,Average Value,Few
13477,Needs Attention,Average Value,Frequent
13479,Churned,Low Value,Few
13481,Needs Attention,Average Value,Occasional
13482,Churned,Very Low Value,One-Time
13483,Needs Attention,Very Low Value,One-Time
13484,Churned,Low Value,One-Time
13485,Churned,Low Value,One-Time
13486,Needs Attention,Average Value,Few
13487,Needs Attention,Low Value,Few
13488,Recent,High Value,Frequent
13489,At Risk,Low Value,Occasional
13491,Needs Attention,Average Value,Frequent
13492,At Risk,Average Value,Few
13493,Churned,Low Value,Few
13494,Churned,Low Value,One-Time
13495,Recent,Average Value,Occasional
13496,Recent,Low Value,Few
13497,Churned,Low Value,Few
13499,Recent,Average Value,Occasional
13500,Recent,Average Value,Few
13501,Churned,Average Value,One-Time
13502,Recent,Very Low Value,Few
13503,Needs Attention,Very Low Value,One-Time
13504,Needs Attention,Very Low Value,One-Time
13505,Needs Attention,Average Value,Occasional
13506,Churned,Low Value,Few
13507,Recent,Average Value,Occasional
13508,Churned,Very Low Value,One-Time
13509,Recent,Low Value,Frequent
13510,Recent,Average Value,Occasional
13512,Churned,Very Low Value,One-Time
13513,At Risk,Very Low Value,One-Time
13514,Needs Attention,Very Low Value,One-Time
13515,Needs Attention,Low Value,Occasional
13516,Recent,Average Value,Few
13517,Needs Attention,Average Value,Few
13518,Needs Attention,Low Value,One-Time
13519,Needs Attention,Very Low Value,One-Time
13520,Needs Attention,Average Value,Frequent
13521,Recent,Average Value,Few
13522,Recent,Very Low Value,One-Time
13523,Needs Attention,Average Value,Occasional
13524,Needs Attention,Low Value,Occasional
13525,Recent,Low Value,Few
13527,Needs Attention,Average Value,Frequent
13529,Needs Attention,Low Value,Few
13531,Churned,Low Value,Few
13532,Needs Attention,Very Low Value,One-Time
13533,Churned,Very Low Value,Few
13534,Recent,High Value,Frequent
13536,Recent,Average Value,Frequent
13538,Needs Attention,Average Value,Frequent
13539,Needs Attention,Low Value,Few
13544,Needs Attention,Very Low Value,Few
13546,Recent,Low Value,Few
13548,At Risk,Low Value,Few
13549,Recent,Low Value,Frequent
13551,Churned,Very Low Value,One-Time
13552,Needs Attention,Average Value,Frequent
13555,Needs Attention,Average Value,Occasional
13557,Recent,Low Value,Few
13558,Recent,Low Value,Occasional
13560,Recent,Very Low Value,One-Time
13561,Churned,Very Low Value,One-Time
13562,Needs Attention,Average Value,Few
13563,Needs Attention,Low Value,Few
13564,Churned,Average Value,Few
13565,Recent,Very Low Value,Few
13566,Needs Attention,Low Value,Few
13568,At Risk,Very Low Value,One-Time
13569,Recent,Low Value,Few
13570,Churned,Very Low Value,One-Time
13571,Recent,Average Value,Frequent
13572,Churned,Average Value,One-Time
13573,Needs Attention,Very Low Value,Few
13575,Recent,Low Value,Occasional
13576,Recent,High Value,Frequent
13577,Recent,Average Value,Occasional
13579,Recent,Low Value,Few
13581,Churned,Very Low Value,One-Time
13583,At Risk,Low Value,One-Time
13584,Churned,Very Low Value,One-Time
13587,Needs Attention,Low Value,One-Time
13588,Recent,Average Value,Frequent
13589,Recent,Low Value,Few
13590,Recent,Average Value,Frequent
13591,Needs Attention,Average Value,Few
13592,Needs Attention,Very Low Value,Occasional
13593,At Risk,Average Value,Occasional
13594,Needs Attention,Low Value,One-Time
13596,Recent,Low Value,Few
13598,Needs Attention,Very Low Value,One-Time
13599,Recent,High Value,Frequent
13600,Churned,Very Low Value,One-Time
13601,Needs Attention,Low Value,Few
13602,Needs Attention,Low Value,One-Time
13603,Recent,Very Low Value,One-Time
13606,Recent,Very Low Value,Few
13607,Needs Attention,Low Value,One-Time
13610,Recent,Average Value,Frequent
13611,Needs Attention,Average Value,Few
13614,Recent,Average Value,Occasional
13615,Churned,Low Value,One-Time
13617,Needs Attention,Low Value,Few
13618,At Risk,Very Low Value,One-Time
13621,At Risk,Very Low Value,One-Time
13623,Recent,Low Value,Occasional
13626,Churned,Very Low Value,One-Time
13627,Needs Attention,Average Value,Occasional
13629,Recent,High Value,Frequent
13630,Recent,Average Value,Frequent
13631,At Risk,Average Value,Frequent
13632,Recent,Average Value,Occasional
13634,Needs Attention,Average Value,Occasional
13635,Needs Attention,Average Value,One-Time
13636,Needs Attention,Low Value,Occasional
13637,Needs Attention,Low Value,Few
13638,Recent,Very Low Value,One-Time
13639,Needs Attention,Average Value,One-Time
13642,Churned,Low Value,One-Time
13643,Recent,Low Value,Few
13644,Recent,Average Value,Occasional
13645,At Risk,Very Low Value,One-Time
13647,Recent,Average Value,Occasional
13649,Churned,Low Value,Few
13650,Recent,Average Value,Frequent
13651,Needs Attention,Very Low Value,One-Time
13652,Needs Attention,Average Value,Few
13654,Needs Attention,Average Value,Frequent
13655,At Risk,Low Value,Few
13656,At Risk,Low Value,Few
13657,Recent,Low Value,Few
13658,Recent,Average Value,Occasional
13659,Churned,Average Value,Few
13662,Needs Attention,Low Value,Few
13663,At Risk,Very Low Value,One-Time
13666,Needs Attention,Very Low Value,Few
13667,At Risk,Low Value,One-Time
13668,Recent,High Value,Frequent
13669,Needs Attention,Very Low Value,Few
13670,Needs Attention,Low Value,One-Time
13672,Churned,Very Low Value,Few
13673,Recent,Low Value,Few
13675,At Risk,Low Value,Few
13678,At Risk,Very Low Value,One-Time
13680,Recent,Average Value,Occasional
13681,Recent,Low Value,Occasional
13682,Churned,Very Low Value,One-Time
13684,Churned,Very Low Value,One-Time
13685,Recent,Average Value,Frequent
13686,Churned,Very Low Value,One-Time
13689,Needs Attention,Low Value,One-Time
13690,Needs Attention,Very Low Value,One-Time
13692,Recent,Average Value,Few
13694,Recent,High Value,Frequent
13695,Recent,Average Value,Frequent
13697,Needs Attention,Very Low Value,One-Time
13699,At Risk,Low Value,One-Time
13700,Recent,Average Value,Frequent
13703,Churned,Very Low Value,One-Time
13704,Recent,Average Value,Frequent
13705,Recent,Low Value,Few
13706,Churned,Low Value,One-Time
13707,Churned,Low Value,Few
13708,Churned,Very Low Value,One-Time
13709,Recent,High Value,Frequent
13710,Needs Attention,Very Low Value,One-Time
13711,Churned,Very Low Value,Few
13712,Churned,Very Low Value,One-Time
13715,Churned,Average Value,Occasional
13716,Churned,Very Low Value,One-Time
13717,Needs Attention,Average Value,Frequent
13718,Churned,Low Value,Few
13719,Recent,Average Value,Occasional
13720,At Risk,Low Value,Occasional
13721,Needs Attention,Low Value,One-Time
13722,At Risk,Average Value,Few
13723,Churned,Very Low Value,One-Time
13725,Needs Attention,Average Value,Frequent
13726,Needs Attention,Average Value,Few
13727,Recent,Low Value,Few
13728,Needs Attention,Average Value,Frequent
13730,At Risk,Low Value,Few
13731,Churned,Low Value,Few
13732,Recent,Low Value,One-Time
13735,Recent,Average Value,Occasional
13736,Recent,Low Value,Few
13737,Churned,Low Value,One-Time
13739,Recent,Very Low Value,One-Time
13740,Churned,Low Value,One-Time
13741,Needs Attention,Low Value,Few
13742,Recent,Average Value,Frequent
13743,Recent,Average Value,Frequent
13744,At Risk,Average Value,Few
13745,At Risk,Low Value,One-Time
13747,Churned,Very Low Value,One-Time
13748,At Risk,Low Value,Occasional
13750,Needs Attention,Average Value,Occasional
13751,Churned,Very Low Value,One-Time
13752,At Risk,Average Value,Frequent
13753,Churned,Low Value,One-Time
13754,At Risk,Very Low Value,Few
13755,Recent,Average Value,Frequent
13756,Recent,High Value,Frequent
13758,Recent,Average Value,Frequent
13759,Needs Attention,Low Value,Few
13760,Needs Attention,Very Low Value,Few
13761,Needs Attention,Average Value,Few
13762,Churned,Low Value,One-Time
13763,Needs Attention,Average Value,One-Time
13764,Needs Attention,Average Value,Few
13767,Recent,High Value,Frequent
13769,Recent,Average Value,Frequent
13771,Needs Attention,Average Value,Occasional
13772,Needs Attention,Average Value,Few
13774,Needs Attention,Low Value,One-Time
13777,Recent,High Value,Frequent
13778,At Risk,Very Low Value,One-Time
13780,Recent,Low Value,Few
13781,Churned,Very Low Value,One-Time
13782,Recent,Low Value,Frequent
13784,Recent,Average Value,Frequent
13786,Churned,Very Low Value,One-Time
13787,Needs Attention,Low Value,Few
13790,Recent,Low Value,One-Time
13791,At Risk,Average Value,Few
13792,Needs Attention,Very Low Value,Few
13798,Recent,High Value,Frequent
13799,At Risk,Low Value,Few
13800,Churned,Low Value,One-Time
13801,Needs Attention,Low Value,One-Time
13802,At Risk,Average Value,Few
13803,Churned,Very Low Value,One-Time
13804,Recent,Average Value,Frequent
13805,Needs Attention,Low Value,Few
13806,Needs Attention,Very Low Value,One-Time
13807,Churned,Very Low Value,One-Time
13808,Recent,Average Value,Occasional
13809,Churned,Very Low Value,One-Time
13810,Recent,Low Value,Few
13811,Churned,Low Value,Few
13812,Needs Attention,Low Value,Few
13813,Needs Attention,Average Value,Occasional
13814,At Risk,Average Value,Few
13815,Recent,Average Value,Occasional
13816,Recent,Low Value,Few
13817,Recent,Low Value,Few
13819,Churned,Average Value,Few
13821,At Risk,Low Value,Few
13822,Recent,Low Value,Few
13823,Recent,Low Value,Few
13824,Needs Attention,Average Value,Occasional
13826,At Risk,Very Low Value,One-Time
13827,Needs Attention,Low Value,Few
13828,Recent,Very Low Value,One-Time
13831,Recent,Average Value,Frequent
13832,Recent,Very Low Value,One-Time
13833,At Risk,Low Value,One-Time
13835,Recent,Low Value,Occasional
13837,Churned,Very Low Value,Few
13838,Recent,Low Value,Occasional
13841,Churned,Very Low Value,One-Time
13842,Needs Attention,Average Value,Frequent
13844,Recent,Low Value,One-Time
13845,Needs Attention,Low Value,One-Time
13846,Recent,Low Value,Few
13848,At Risk,Average Value,Few
13849,Needs Attention,Average Value,Few
13850,At Risk,Average Value,One-Time
13851,At Risk,Average Value,Few
13853,Needs Attention,Average Value,One-Time
13854,Recent,High Value,Frequent
13856,At Risk,Low Value,Few
13858,Needs Attention,Very Low Value,One-Time
13859,Churned,Very Low Value,One-Time
13860,Recent,Average Value,Occasional
13862,Recent,Average Value,Frequent
13863,Churned,Low Value,One-Time
13865,Needs Attention,Low Value,Occasional
13866,Needs Attention,Very Low Value,One-Time
13867,Recent,Average Value,Few
13868,Recent,Average Value,Few
13869,At Risk,Average Value,Occasional
13870,Recent,Average Value,Frequent
13871,Recent,High Value,Frequent
13873,At Risk,Low Value,Few
13874,Churned,Low Value,One-Time
13875,Needs Attention,Average Value,Occasional
13876,Needs Attention,Very Low Value,One-Time
13877,Needs Attention,Very Low Value,One-Time
13878,Needs Attention,Average Value,One-Time
13880,Recent,Average Value,Frequent
13881,Recent,High Value,Frequent
13882,Recent,Average Value,Occasional
13883,Recent,Average Value,Occasional
13884,Recent,Low Value,Occasional
13885,Churned,Low Value,Few
13886,Needs Attention,Very Low Value,One-Time
13887,Churned,Low Value,One-Time
13888,At Risk,Low Value,Few
13889,At Risk,Low Value,One-Time
13890,Recent,Average Value,Frequent
13892,Recent,Low Value,Occasional
13893,Churned,Low Value,One-Time
13894,Recent,Low Value,Few
13895,Recent,Average Value,Occasional
13897,Needs Attention,Low Value,One-Time
13898,Churned,Very Low Value,One-Time
13899,Recent,Low Value,Few
13900,Churned,Low Value,Few
13901,Needs Attention,Average Value,Occasional
13904,Needs Attention,Low Value,Few
13908,Needs Attention,Average Value,Occasional
13911,Needs Attention,Average Value,Frequent
13914,Recent,Low Value,Few
13917,Needs Attention,Very Low Value,Few
13918,Needs Attention,Average Value,Few
13919,Needs Attention,Low Value,Few
13922,Churned,Very Low Value,One-Time
13923,Needs Attention,Low Value,One-Time
13924,Recent,Average Value,Frequent
13925,At Risk,Low Value,Occasional
13926,Recent,Very Low Value,One-Time
13927,Needs Attention,Low Value,One-Time
13928,Recent,Low Value,Occasional
13929,At Risk,Low Value,Few
13930,Needs Attention,Low Value,Few
13931,At Risk,Average Value,Few
13932,Churned,Low Value,One-Time
13933,At Risk,Low Value,Few
13934,Churned,Low Value,One-Time
13936,At Risk,Low Value,One-Time
13937,At Risk,Very Low Value,One-Time
13938,Needs Attention,Very Low Value,One-Time
13939,Recent,Low Value,Few
13940,Recent,Low Value,Occasional
13941,Recent,High Value,Occasional
13946,Needs Attention,Low Value,Few
13947,Needs Attention,Very Low Value,One-Time
13948,Churned,Very Low Value,One-Time
13949,Recent,Average Value,Frequent
13950,Recent,Low Value,Occasional
13951,At Risk,Low Value,Few
13952,Churned,Average Value,Few
13953,Recent,Average Value,Frequent
13954,Recent,Low Value,Few
13955,At Risk,Low Value,Few
13956,Recent,Average Value,Occasional
13959,Needs Attention,Low Value,Few
13960,Recent,Very Low Value,Few
13962,Recent,Very Low Value,Few
13963,Churned,Low Value,Occasional
13967,At Risk,Very Low Value,One-Time
13969,Recent,High Value,Frequent
13971,Recent,Average Value,Frequent
13972,Needs Attention,Very Low Value,Few
13973,Churned,Very Low Value,One-Time
13974,Needs Attention,Low Value,One-Time
13975,Recent,Average Value,Frequent
13976,Churned,Low Value,One-Time
13978,Recent,Very Low Value,Few
13979,Needs Attention,Low Value,One-Time
13980,Needs Attention,Very Low Value,One-Time
13982,Needs Attention,Average Value,Occasional
13983,Recent,Average Value,Frequent
13984,Recent,Low Value,Occasional
13985,Recent,High Value,Frequent
13986,Recent,Low Value,One-Time
13988,Recent,Average Value,Frequent
13989,Needs Attention,Average Value,Few
13990,Churned,Low Value,One-Time
13991,Recent,Low Value,Frequent
13992,Recent,Very Low Value,One-Time
13993,Needs Attention,Average Value,Frequent
13994,Recent,Average Value,Frequent
13995,Recent,Average Value,Occasional
13999,Recent,Average Value,Frequent
14000,Churned,Low Value,One-Time
14001,Needs Attention,Average Value,Few
14002,At Risk,Low Value,Few
14004,Needs Attention,Average Value,Frequent
14005,Recent,Average Value,Occasional
14006,At Risk,Low Value,Few
14009,Churned,Low Value,Few
14012,Churned,Low Value,One-Time
14013,At Risk,Low Value,Few
14014,Needs Attention,Low Value,One-Time
14015,Needs Attention,Low Value,One-Time
14016,At Risk,Average Value,Occasional
14019,Needs Attention,Average Value,Few
14020,Recent,Low Value,Few
14021,At Risk,Low Value,Few
14022,Churned,Low Value,One-Time
14023,Recent,Low Value,Few
14024,At Risk,Low Value,Few
14027,Needs Attention,Very Low Value,One-Time
14029,Needs Attention,Low Value,Few
14030,Recent,Average Value,Frequent
14031,Recent,High Value,Frequent
14032,Recent,Average Value,Frequent
14034,Recent,Low Value,Few
14035,Recent,Average Value,Occasional
14036,Churned,Low Value,One-Time
14037,At Risk,Very Low Value,Few
14038,Needs Attention,Average Value,Few
14039,Needs Attention,Very Low Value,One-Time
14040,Needs Attention,Average Value,Frequent
14041,Churned,Very Low Value,One-Time
14044,Recent,Low Value,Occasional
14045,At Risk,Average Value,Occasional
14046,Churned,Very Low Value,One-Time
14047,Recent,Average Value,Occasional
14048,Churned,Low Value,One-Time
14049,Recent,High Value,Occasional
14050,Needs Attention,Low Value,Few
14051,Recent,High Value,Frequent
14052,Recent,Very Low Value,One-Time
14053,At Risk,Very Low Value,Few
14054,Needs Attention,Very Low Value,One-Time
14055,At Risk,Low Value,One-Time
14056,Recent,High Value,Frequent
14057,Recent,High Value,Frequent
14059,Churned,Very Low Value,One-Time
14060,Recent,High Value,Frequent
14062,Recent,High Value,Frequent
14064,Recent,Average Value,Occasional
14066,Churned,Very Low Value,One-Time
14067,Needs Attention,Low Value,Few
14068,Churned,Very Low Value,One-Time
14071,Recent,Average Value,Frequent
14073,Needs Attention,Very Low Value,One-Time
14075,Recent,Low Value,Few
14076,At Risk,Very Low Value,One-Time
14077,Needs Attention,Low Value,Occasional
14078,At Risk,Average Value,Frequent
14079,At Risk,Low Value,One-Time
14080,Needs Attention,Very Low Value,One-Time
14081,Churned,Low Value,Few
14082,Churned,Very Low Value,One-Time
14083,Recent,Average Value,Frequent
14085,Recent,Average Value,Frequent
14087,Recent,Very Low Value,One-Time
14088,Recent,High Value,Frequent
14089,Needs Attention,Very Low Value,One-Time
14090,Churned,Very Low Value,One-Time
14092,Recent,Average Value,Frequent
14093,Recent,Low Value,One-Time
14096,Recent,High Value,Frequent
14098,Needs Attention,Very Low Value,One-Time
14099,Recent,Average Value,Frequent
14100,At Risk,Very Low Value,One-Time
14101,Needs Attention,High Value,Frequent
14102,Recent,Average Value,Occasional
14104,At Risk,Very Low Value,Few
14105,Churned,Average Value,One-Time
14107,Needs Attention,Average Value,Frequent
14108,Recent,Low Value,Few
14109,Needs Attention,Very Low Value,One-Time
14110,Recent,High Value,Frequent
14111,Recent,Low Value,Occasional
14112,Recent,Average Value,Frequent
14113,Recent,Average Value,Occasional
14114,Churned,Low Value,Few
14116,Recent,Average Value,Occasional
14117,At Risk,Very Low Value,One-Time
14121,Recent,Average Value,Occasional
14124,Needs Attention,Low Value,One-Time
14125,Recent,Average Value,Few
14126,Recent,Low Value,Few
14127,At Risk,Low Value,Few
14128,Needs Attention,Low Value,Few
14129,Recent,Average Value,Occasional
14130,Churned,Low Value,One-Time
14132,Recent,Average Value,Frequent
14133,At Risk,Low Value,Few
14135,Recent,Average Value,Frequent
14138,Recent,Low Value,Few
14139,Needs Attention,Low Value,One-Time
14140,Recent,Low Value,Few
14141,Recent,Low Value,Occasional
14142,Churned,Low Value,One-Time
14143,At Risk,Very Low Value,One-Time
14145,Needs Attention,Average Value,Occasional
14146,Recent,Average Value,Occasional
14147,Needs Attention,Low Value,Few
14148,Churned,Very Low Value,One-Time
14149,Churned,Low Value,One-Time
14150,Needs Attention,Low Value,Few
14152,Needs Attention,Low Value,Few
14154,Churned,Average Value,Few
14155,Churned,Very Low Value,One-Time
14156,Recent,High Value,Frequent
14157,Recent,Low Value,Few
14158,Needs Attention,Low Value,One-Time
14159,Recent,Average Value,Frequent
14161,Churned,Average Value,Few
14162,At Risk,Very Low Value,Few
14163,Needs Attention,Average Value,Occasional
14164,Needs Attention,Average Value,Few
14165,Churned,Very Low Value,One-Time
14167,Needs Attention,Low Value,Occasional
14171,At Risk,Low Value,One-Time
14173,Recent,Low Value,Occasional
14174,Needs Attention,Very Low Value,One-Time
14175,Needs Attention,Average Value,Few
14176,Churned,Low Value,Occasional
14177,Needs Attention,Low Value,Occasional
14178,Recent,Average Value,Frequent
14179,Needs Attention,Low Value,Few
14180,Recent,Average Value,Frequent
14184,Needs Attention,Low Value,One-Time
14185,Churned,Very Low Value,One-Time
14188,Recent,Average Value,Frequent
14189,Recent,Average Value,Frequent
14191,Recent,Average Value,Frequent
14193,Needs Attention,Low Value,Few
14194,Recent,High Value,Frequent
14195,Churned,Average Value,Few
14196,At Risk,Low Value,One-Time
14198,Recent,Low Value,Occasional
14199,Churned,Very Low Value,One-Time
14201,Needs Attention,Low Value,Frequent
14204,Recent,Very Low Value,One-Time
14205,Recent,Low Value,Few
14206,Churned,Low Value,One-Time
14208,At Risk,Very Low Value,One-Time
14209,Recent,Average Value,Frequent
14210,At Risk,Average Value,Frequent
14211,Needs Attention,Average Value,Frequent
14212,Needs Attention,Average Value,One-Time
14214,Recent,Average Value,Occasional
14215,Recent,Average Value,Frequent
14216,Recent,Average Value,Occasional
14217,Recent,Average Value,Frequent
14218,Needs Attention,Very Low Value,One-Time
14219,Recent,Very Low Value,One-Time
14220,Churned,Low Value,Few
14221,Needs Attention,Average Value,Frequent
14222,At Risk,Low Value,One-Time
14223,At Risk,Low Value,Few
14224,At Risk,Average Value,Occasional
14226,Recent,Average Value,Occasional
14227,Recent,Average Value,Frequent
14229,Needs Attention,Average Value,Few
14231,Churned,Low Value,Few
14232,Needs Attention,Average Value,Occasional
14233,Needs Attention,Average Value,Occasional
14234,Recent,Low Value,Occasional
14235,Needs Attention,Average Value,Occasional
14236,Needs Attention,Low Value,Few
14237,Churned,Very Low Value,One-Time
14238,Churned,Very Low Value,One-Time
14239,Needs Attention,Average Value,Frequent
14240,Recent,Low Value,Few
14241,Churned,Very Low Value,One-Time
14242,Churned,Very Low Value,Few
14243,Recent,Average Value,Frequent
14245,Churned,Average Value,Few
14246,At Risk,Average Value,Few
14247,Churned,Very Low Value,One-Time
14248,Churned,Low Value,One-Time
14250,Recent,Average Value,Few
14251,Recent,Average Value,Occasional
14256,Churned,Low Value,Few
14257,Needs Attention,Average Value,Occasional
14258,Recent,High Value,Frequent
14259,At Risk,Very Low Value,One-Time
14261,Needs Attention,Average Value,Few
14262,Recent,Average Value,Frequent
14264,At Risk,Low Value,Few
14265,At Risk,Low Value,Few
14267,At Risk,Average Value,Few
14270,Churned,Low Value,One-Time
14271,Churned,Very Low Value,One-Time
14272,Needs Attention,Low Value,Few
14273,Needs Attention,Low Value,Occasional
14276,At Risk,Average Value,Few
14277,Recent,Average Value,Few
14280,Churned,Very Low Value,One-Time
14282,Recent,Average Value,Frequent
14284,Recent,Low Value,Few
14285,Recent,Average Value,Occasional
14286,Recent,Average Value,Few
14287,Recent,Very Low Value,Few
14288,Churned,Low Value,One-Time
14289,Recent,Low Value,Frequent
14290,Recent,Average Value,Occasional
14291,Recent,Average Value,Frequent
14292,Recent,Average Value,Frequent
14293,Recent,Average Value,Occasional
14295,Needs Attention,Very Low Value,One-Time
14297,Recent,Average Value,Occasional
14298,Recent,High Value,Frequent
14299,Recent,Average Value,Frequent
14300,Recent,Very Low Value,One-Time
14301,At Risk,Low Value,One-Time
14304,Churned,Low Value,One-Time
14305,Needs Attention,Average Value,Few
14306,Needs Attention,Average Value,Few
14307,Needs Attention,Average Value,Frequent
14309,Recent,Average Value,Frequent
14311,Churned,Low Value,One-Time
14312,Needs Attention,Average Value,Frequent
14314,At Risk,Very Low Value,One-Time
14315,Needs Attention,Average Value,Frequent
14317,Needs Attention,Low Value,One-Time
14320,Churned,Low Value,Few
14321,Recent,Average Value,Occasional
14323,At Risk,Low Value,Few
14326,Churned,Very Low Value,One-Time
14327,At Risk,Low Value,One-Time
14329,Recent,High Value,Frequent
14331,At Risk,Low Value,Few
14332,Recent,Low Value,Few
14333,Needs Attention,Low Value,One-Time
14334,Recent,Average Value,Frequent
14335,Recent,Low Value,Few
14336,Recent,Average Value,Occasional
14338,At Risk,Low Value,Few
14339,Churned,Low Value,One-Time
14340,Churned,Very Low Value,One-Time
14341,Needs Attention,Average Value,Frequent
14342,Recent,Low Value,Occasional
14344,At Risk,Low Value,Frequent
14345,Needs Attention,Very Low Value,One-Time
14346,At Risk,Average Value,Few
14348,Churned,Low Value,One-Time
14349,Recent,Very Low Value,One-Time
14350,Churned,Very Low Value,One-Time
14351,At Risk,Very Low Value,One-Time
14352,At Risk,Average Value,Occasional
14353,Churned,Very Low Value,One-Time
14354,Recent,Very Low Value,Few
14355,Churned,Very Low Value,One-Time
14356,Needs Attention,Low Value,Few
14357,Needs Attention,Very Low Value,One-Time
14359,Recent,Low Value,Few
14360,Needs Attention,Average Value,Occasional
14362,Recent,Very Low Value,One-Time
14364,At Risk,Average Value,Frequent
14367,Recent,High Value,Frequent
14368,Churned,Very Low Value,One-Time
14371,Churned,Very Low Value,One-Time
14373,Churned,Very Low Value,One-Time
14375,Churned,Very Low Value,One-Time
14377,Churned,Low Value,Few
14379,Needs Attention,Low Value,Few
14381,Needs Attention,Very Low Value,One-Time
14382,Recent,Low Value,One-Time
14383,Needs Attention,Average Value,Few
14385,Recent,Very Low Value,Few
14386,Churned,Very Low Value,One-Time
14387,Needs Attention,Average Value,Few
14388,Recent,Average Value,Frequent
14389,Needs Attention,Average Value,Few
14390,Recent,Average Value,Frequent
14393,Churned,Very Low Value,One-Time
14395,Recent,Average Value,Frequent
14396,Needs Attention,Low Value,Few
14397,Recent,Average Value,Frequent
14400,At Risk,Low Value,One-Time
14401,Recent,Average Value,Frequent
14403,At Risk,Average Value,Occasional
14404,Needs Attention,Average Value,Frequent
14406,At Risk,Very Low Value,One-Time
14407,At Risk,Average Value,Occasional
14408,Recent,Average Value,Frequent
14409,Needs Attention,Average Value,Frequent
14410,At Risk,Average Value,Frequent
14411,Churned,Average Value,One-Time
14412,Needs Attention,Low Value,Few
14413,Churned,Very Low Value,One-Time
14414,At Risk,Average Value,Frequent
14415,Recent,High Value,Frequent
14416,Recent,Low Value,Few
14418,Recent,Average Value,Few
14419,Recent,Average Value,Frequent
14420,At Risk,Low Value,One-Time
14421,Needs Attention,Low Value,Few
14422,Recent,Average Value,Frequent
14423,Churned,Very Low Value,One-Time
14424,Recent,Low Value,One-Time
14426,Recent,Average Value,Frequent
14427,Needs Attention,Low Value,Few
14428,Recent,Average Value,Occasional
14431,Churned,Low Value,One-Time
14432,Recent,Average Value,Frequent
14434,Recent,Average Value,Frequent
14436,At Risk,Very Low Value,One-Time
14437,Churned,Very Low Value,One-Time
14438,Churned,Very Low Value,One-Time
14439,Churned,Average Value,One-Time
14440,Recent,Average Value,Occasional
14441,Recent,Average Value,Occasional
14442,Churned,Average Value,Few
14443,Needs Attention,Average Value,Occasional
14446,Recent,Average Value,Occasional
14447,Recent,Average Value,Occasional
14448,Recent,Low Value,Few
14449,Recent,Low Value,Occasional
14450,At Risk,Low Value,Few
14451,Needs Attention,Low Value,Few
14452,Recent,Very Low Value,Few
14453,Churned,Very Low Value,One-Time
14456,Recent,Average Value,Frequent
14457,Churned,Very Low Value,One-Time
14459,At Risk,Average Value,One-Time
14460,At Risk,Low Value,Few
14461,At Risk,Average Value,Few
14462,Needs Attention,Average Value,Frequent
14463,At Risk,Low Value,Few
14465,Churned,Average Value,Few
14466,Recent,Average Value,Frequent
14467,Recent,Low Value,Occasional
14470,Recent,Low Value,Few
14472,At Risk,Average Value,Frequent
14473,Needs Attention,Very Low Value,Few
14474,Needs Attention,Low Value,One-Time
14475,Needs Attention,Low Value,Few
14476,Churned,Very Low Value,One-Time
14477,Recent,Average Value,Occasional
14479,Churned,Low Value,Few
14480,Recent,Very Low Value,One-Time
14481,At Risk,Low Value,Few
14482,Recent,Average Value,Frequent
14483,Churned,Very Low Value,One-Time
14484,Needs Attention,Low Value,One-Time
14485,Needs Attention,Very Low Value,One-Time
14487,Recent,Average Value,Frequent
14488,Needs Attention,Average Value,One-Time
14489,Churned,Low Value,One-Time
14491,At Risk,Low Value,Few
14493,Recent,Average Value,Occasional
14494,Recent,Very Low Value,One-Time
